,Author,Book,Genre,Year,Searching_Value,Searching_Value2
222,John Cheever,Falconer,fiction,1977,Falconer John Cheever,Falconer+John+Cheever
223,Colleen McCullough,The Thorn Birds,fiction,1977,The Thorn Birds Colleen McCullough,The+Thorn+Birds+Colleen+McCullough
224,J. R. R. Tolkien,The Silmarillion,fiction,1977,The Silmarillion J. R. R. Tolkien,The+Silmarillion+J.+R.+R.+Tolkien
225,Sidney Sheldon,Bloodline,fiction,1978,Bloodline Sidney Sheldon,Bloodline+Sidney+Sheldon
226,Judith Krantz,Scruples,fiction,1978,Scruples Judith Krantz,Scruples+Judith+Krantz
227,Robert Ludlum,The Holcroft Covenant,fiction,1978,The Holcroft Covenant Robert Ludlum,The+Holcroft+Covenant+Robert+Ludlum
228,James Michener,Chesapeake,fiction,1978,Chesapeake James Michener,Chesapeake+James+Michener
229,Not published due to Newspaper Strike,Not published due to Newspaper Strike,fiction,1978,Not published due to Newspaper Strike Not published due to Newspaper Strike,Not+published+due+to+Newspaper+Strike+Not+published+due+to+Newspaper+Strike
230,Herman Wouk,War and Remembrance,fiction,1978,War and Remembrance Herman Wouk,War+and+Remembrance+Herman+Wouk
231,Arthur Hailey,Overload,fiction,1979,Overload Arthur Hailey,Overload+Arthur+Hailey
232,Robert Ludlum,The Matarese Circle,fiction,1979,The Matarese Circle Robert Ludlum,The+Matarese+Circle+Robert+Ludlum
233,Joseph Heller,Good as Gold,fiction,1979,Good as Gold Joseph Heller,Good+as+Gold+Joseph+Heller
234,William Styron,Sophie's Choice,fiction,1979,Sophie's Choice William Styron,Sophie's+Choice+William+Styron
235,Mary Stewart,The Last Enchantment,fiction,1979,The Last Enchantment Mary Stewart,The+Last+Enchantment+Mary+Stewart
236,Kurt Vonnegut,Jailbird,fiction,1979,Jailbird Kurt Vonnegut,Jailbird+Kurt+Vonnegut
237,Stephen King,The Dead Zone,fiction,1979,The Dead Zone Stephen King,The+Dead+Zone+Stephen+King
238,Howard Fast,The Establishment,fiction,1979,The Establishment Howard Fast,The+Establishment+Howard+Fast
239,Ken Follett,Triple,fiction,1979,Triple Ken Follett,Triple+Ken+Follett
240,John le Carré,Smiley's People,fiction,1980,Smiley's People John le Carré,Smiley's+People+John+le+Carré
241,Judith Krantz,Princess Daisy,fiction,1980,Princess Daisy Judith Krantz,Princess+Daisy+Judith+Krantz
242,Robert Ludlum,The Bourne Identity,fiction,1980,The Bourne Identity Robert Ludlum,The+Bourne+Identity+Robert+Ludlum
243,Sidney Sheldon,Rage of Angels,fiction,1980,Rage of Angels Sidney Sheldon,Rage+of+Angels+Sidney+Sheldon
244,Stephen King,Firestarter,fiction,1980,Firestarter Stephen King,Firestarter+Stephen+King
245,Ken Follett,The Key to Rebecca,fiction,1980,The Key to Rebecca Ken Follett,The+Key+to+Rebecca+Ken+Follett
246,James Michener,The Covenant,fiction,1980,The Covenant James Michener,The+Covenant+James+Michener
247,Martin Cruz Smith,Gorky Park,fiction,1981,Gorky Park Martin Cruz Smith,Gorky+Park+Martin+Cruz+Smith
248,James Clavell,Noble House,fiction,1981,Noble House James Clavell,Noble+House+James+Clavell
249,Stephen King,Cujo,fiction,1981,Cujo Stephen King,Cujo+Stephen+King
250,John Irving,The Hotel New Hampshire,fiction,1981,The Hotel New Hampshire John Irving,The+Hotel+New+Hampshire+John+Irving
251,Colleen McCullough,An Indecent Obsession,fiction,1981,An Indecent Obsession Colleen McCullough,An+Indecent+Obsession+Colleen+McCullough
252,John Jakes,North and South,fiction,1982,North and South John Jakes,North+and+South+John+Jakes
253,Robert Ludlum,The Parsifal Mosaic,fiction,1982,The Parsifal Mosaic Robert Ludlum,The+Parsifal+Mosaic+Robert+Ludlum
254,Ken Follett,The Man from St. Petersburg,fiction,1982,The Man from St. Petersburg Ken Follett,The+Man+from+St.+Petersburg+Ken+Follett
255,Jeffrey Archer,The Prodigal Daughter,fiction,1982,The Prodigal Daughter Jeffrey Archer,The+Prodigal+Daughter+Jeffrey+Archer
256,Stephen King,Different Seasons,fiction,1982,Different Seasons Stephen King,Different+Seasons+Stephen+King
257,Sidney Sheldon,Master of the Game,fiction,1982,Master of the Game Sidney Sheldon,Master+of+the+Game+Sidney+Sheldon
258,James Michener,Space,fiction,1982,Space James Michener,Space+James+Michener
259,Judith Krantz,Mistral's Daughter,fiction,1983,Mistral's Daughter Judith Krantz,Mistral's+Daughter+Judith+Krantz
260,John le Carré,The Little Drummer Girl,fiction,1983,The Little Drummer Girl John le Carré,The+Little+Drummer+Girl+John+le+Carré
261,Joan D. Vinge,Star Wars: Return of the Jedi:The Storybook Based on the Movie,fiction,1983,Star Wars: Return of the Jedi:The Storybook Based on the Movie Joan D. Vinge,Star+Wars:+Return+of+the+Jedi:The+Storybook+Based+on+the+Movie+Joan+D.+Vinge
262,Umberto Eco,The Name of the Rose,fiction,1983,The Name of the Rose Umberto Eco,The+Name+of+the+Rose+Umberto+Eco
263,James Michener,Poland,fiction,1983,Poland James Michener,Poland+James+Michener
264,Stephen King,Pet Sematary,fiction,1983,Pet Sematary Stephen King,Pet+Sematary+Stephen+King
265,Thomas Chastain,Who Killed the Robins Family?,fiction,1984,Who Killed the Robins Family? Thomas Chastain,Who+Killed+the+Robins+Family?+Thomas+Chastain
266,Robert Ludlum,The Aquitaine Progression,fiction,1984,The Aquitaine Progression Robert Ludlum,The+Aquitaine+Progression+Robert+Ludlum
267,Danielle Steel,Full Circle,fiction,1984,Full Circle Danielle Steel,Full+Circle+Danielle+Steel
268,Helen Hooven Santmyer,"""...And Ladies of the Club""",fiction,1984,"""...And Ladies of the Club"" Helen Hooven Santmyer","""...And+Ladies+of+the+Club""+Helen+Hooven+Santmyer"
269,Jeffrey Archer,First Among Equals,fiction,1984,First Among Equals Jeffrey Archer,First+Among+Equals+Jeffrey+Archer
270,Frederick Forsyth,The Fourth Protocol,fiction,1984,The Fourth Protocol Frederick Forsyth,The+Fourth+Protocol+Frederick+Forsyth
271,Stephen King and Peter Straub,The Talisman,fiction,1984,The Talisman Stephen King and Peter Straub,The+Talisman+Stephen+King+and+Peter+Straub
272,Mario Puzo,The Sicilian,fiction,1985,The Sicilian Mario Puzo,The+Sicilian+Mario+Puzo
273,Sidney Sheldon,If Tomorrow Comes,fiction,1985,If Tomorrow Comes Sidney Sheldon,If+Tomorrow+Comes+Sidney+Sheldon
274,Danielle Steel,Family Album,fiction,1985,Family Album Danielle Steel,Family+Album+Danielle+Steel
275,Richard Bachman (pseudonym for Stephen King),Thinner,fiction,1985,Thinner Richard Bachman (pseudonym for Stephen King),Thinner+Richard+Bachman+(pseudonym+for+Stephen+King)
276,Louis L'Amour,Jubal Sackett,fiction,1985,Jubal Sackett Louis L'Amour,Jubal+Sackett+Louis+L'Amour
277,Barbara Taylor Bradford,Hold the Dream,fiction,1985,Hold the Dream Barbara Taylor Bradford,Hold+the+Dream+Barbara+Taylor+Bradford
278,John Irving,The Cider House Rules,fiction,1985,The Cider House Rules John Irving,The+Cider+House+Rules+John+Irving
279,Stephen King,Skeleton Crew,fiction,1985,Skeleton Crew Stephen King,Skeleton+Crew+Stephen+King
280,Jackie Collins,Lucky,fiction,1985,Lucky Jackie Collins,Lucky+Jackie+Collins
281,Garrison Keillor,Lake Wobegon Days,fiction,1985,Lake Wobegon Days Garrison Keillor,Lake+Wobegon+Days+Garrison+Keillor
282,James Michener,Texas,fiction,1985,Texas James Michener,Texas+James+Michener
283,Jean M. Auel,The Mammoth Hunters,fiction,1985,The Mammoth Hunters Jean M. Auel,The+Mammoth+Hunters+Jean+M.+Auel
284,Ken Follett,Lie Down with Lions,fiction,1986,Lie Down with Lions Ken Follett,Lie+Down+with+Lions+Ken+Follett
285,Robert Ludlum,The Bourne Supremacy,fiction,1986,The Bourne Supremacy Robert Ludlum,The+Bourne+Supremacy+Robert+Ludlum
286,John le Carré,A Perfect Spy,fiction,1986,A Perfect Spy John le Carré,A+Perfect+Spy+John+le+Carré
287,Judith Krantz,I'll Take Manhattan,fiction,1986,I'll Take Manhattan Judith Krantz,I'll+Take+Manhattan+Judith+Krantz
288,Louis L'Amour,Last of the Breed,fiction,1986,Last of the Breed Louis L'Amour,Last+of+the+Breed+Louis+L'Amour
289,Danielle Steel,Wanderlust,fiction,1986,Wanderlust Danielle Steel,Wanderlust+Danielle+Steel
290,Tom Clancy,Red Storm Rising,fiction,1986,Red Storm Rising Tom Clancy,Red+Storm+Rising+Tom+Clancy
291,Stephen King,It,fiction,1986,It Stephen King,It+Stephen+King
292,James Clavell,Whirlwind,fiction,1986,Whirlwind James Clavell,Whirlwind+James+Clavell
293,Stephen King,The Eyes of the Dragon,fiction,1987,The Eyes of the Dragon Stephen King,The+Eyes+of+the+Dragon+Stephen+King
294,Sidney Sheldon,Windmills of the Gods,fiction,1987,Windmills of the Gods Sidney Sheldon,Windmills+of+the+Gods+Sidney+Sheldon
295,Danielle Steel,Fine Things,fiction,1987,Fine Things Danielle Steel,Fine+Things+Danielle+Steel
296,Louis L'Amour,The Haunted Mesa,fiction,1987,The Haunted Mesa Louis L'Amour,The+Haunted+Mesa+Louis+L'Amour
297,Stephen King,Misery,fiction,1987,Misery Stephen King,Misery+Stephen+King
298,Scott Turow,Presumed Innocent,fiction,1987,Presumed Innocent Scott Turow,Presumed+Innocent+Scott+Turow
299,Tom Clancy,Patriot Games,fiction,1987,Patriot Games Tom Clancy,Patriot+Games+Tom+Clancy
300,Danielle Steel,Kaleidoscope,fiction,1987,Kaleidoscope Danielle Steel,Kaleidoscope+Danielle+Steel
301,Stephen King,The Tommyknockers,fiction,1987,The Tommyknockers Stephen King,The+Tommyknockers+Stephen+King
302,Tom Wolfe,The Bonfire of the Vanities,fiction,1988,The Bonfire of the Vanities Tom Wolfe,The+Bonfire+of+the+Vanities+Tom+Wolfe
303,Robert Ludlum,The Icarus Agenda,fiction,1988,The Icarus Agenda Robert Ludlum,The+Icarus+Agenda+Robert+Ludlum
304,Danielle Steel,Zoya,fiction,1988,Zoya Danielle Steel,Zoya+Danielle+Steel
305,James Michener,Alaska,fiction,1988,Alaska James Michener,Alaska+James+Michener
306,Tom Clancy,The Cardinal of the Kremlin,fiction,1988,The Cardinal of the Kremlin Tom Clancy,The+Cardinal+of+the+Kremlin+Tom+Clancy
307,Anne Rice,The Queen of the Damned,fiction,1988,The Queen of the Damned Anne Rice,The+Queen+of+the+Damned+Anne+Rice
308,Sidney Sheldon,The Sands of Time,fiction,1988,The Sands of Time Sidney Sheldon,The+Sands+of+Time+Sidney+Sheldon
309,,Sidney Sheldon,fiction,1988,,
310,Dean Koontz,Midnight,fiction,1989,Midnight Dean Koontz,Midnight+Dean+Koontz
311,Danielle Steel,Star,fiction,1989,Star Danielle Steel,Star+Danielle+Steel
312,Salman Rushdie,The Satanic Verses,fiction,1989,The Satanic Verses Salman Rushdie,The+Satanic+Verses+Salman+Rushdie
313,Mary Higgins Clark,While My Pretty One Sleeps,fiction,1989,While My Pretty One Sleeps Mary Higgins Clark,While+My+Pretty+One+Sleeps+Mary+Higgins+Clark
314,John le Carré,The Russia House,fiction,1989,The Russia House John le Carré,The+Russia+House+John+le+Carré
315,Martin Cruz Smith,Polar Star,fiction,1989,Polar Star Martin Cruz Smith,Polar+Star+Martin+Cruz+Smith
316,Tom Clancy,Clear and Present Danger,fiction,1989,Clear and Present Danger Tom Clancy,Clear+and+Present+Danger+Tom+Clancy
317,Stephen King,The Dark Half,fiction,1989,The Dark Half Stephen King,The+Dark+Half+Stephen+King
318,Danielle Steel,Daddy,fiction,1989,Daddy Danielle Steel,Daddy+Danielle+Steel
319,Dean Koontz,The Bad Place,fiction,1990,The Bad Place Dean Koontz,The+Bad+Place+Dean+Koontz
320,P. D. James,Devices and Desires,fiction,1990,Devices and Desires P. D. James,Devices+and+Desires+P.+D.+James
321,Dr. Seuss,"Oh, the Places You'll Go!",fiction,1990,"Oh, the Places You'll Go! Dr. Seuss","Oh,+the+Places+You'll+Go!+Dr.+Seuss"
322,Robert Ludlum,The Bourne Ultimatum,fiction,1990,The Bourne Ultimatum Robert Ludlum,The+Bourne+Ultimatum+Robert+Ludlum
323,Rosamunde Pilcher,September,fiction,1990,September Rosamunde Pilcher,September+Rosamunde+Pilcher
324,Stephen King,The Stand,fiction,1990,The Stand Stephen King,The+Stand+Stephen+King
325,Scott Turow,The Burden of Proof,fiction,1990,The Burden of Proof Scott Turow,The+Burden+of+Proof+Scott+Turow
326,Sidney Sheldon,Memories of Midnight,fiction,1990,Memories of Midnight Sidney Sheldon,Memories+of+Midnight+Sidney+Sheldon
327,Stephen King,Four Past Midnight,fiction,1990,Four Past Midnight Stephen King,Four+Past+Midnight+Stephen+King
328,Jean M. Auel,The Plains of Passage,fiction,1990,The Plains of Passage Jean M. Auel,The+Plains+of+Passage+Jean+M.+Auel
329,John le Carré,The Secret Pilgrim,fiction,1991,The Secret Pilgrim John le Carré,The+Secret+Pilgrim+John+le+Carré
330,Dean Koontz,Cold Fire,fiction,1991,Cold Fire Dean Koontz,Cold+Fire+Dean+Koontz
331,Danielle Steel,Heartbeat,fiction,1991,Heartbeat Danielle Steel,Heartbeat+Danielle+Steel
332,David Eddings,The Seeress of Kell,fiction,1991,The Seeress of Kell David Eddings,The+Seeress+of+Kell+David+Eddings
333,Mary Higgins Clark,"Loves Music, Loves to Dance",fiction,1991,"Loves Music, Loves to Dance Mary Higgins Clark","Loves+Music,+Loves+to+Dance+Mary+Higgins+Clark"
334,Timothy Zahn,Heir to the Empire,fiction,1991,Heir to the Empire Timothy Zahn,Heir+to+the+Empire+Timothy+Zahn
335,Amy Tan,The Kitchen God's Wife,fiction,1991,The Kitchen God's Wife Amy Tan,The+Kitchen+God's+Wife+Amy+Tan
336,Tom Clancy,The Sum of All Fears,fiction,1991,The Sum of All Fears Tom Clancy,The+Sum+of+All+Fears+Tom+Clancy
337,Alexandra Ripley,Scarlett,fiction,1991,Scarlett Alexandra Ripley,Scarlett+Alexandra+Ripley
338,Dean Koontz,Hideaway,fiction,1992,Hideaway Dean Koontz,Hideaway+Dean+Koontz
339,Michael Crichton,Rising Sun,fiction,1992,Rising Sun Michael Crichton,Rising+Sun+Michael+Crichton
340,John Grisham,The Pelican Brief,fiction,1992,The Pelican Brief John Grisham,The+Pelican+Brief+John+Grisham
341,Danielle Steel,Jewels,fiction,1992,Jewels Danielle Steel,Jewels+Danielle+Steel
342,Stephen King,Gerald's Game,fiction,1992,Gerald's Game Stephen King,Gerald's+Game+Stephen+King
343,Jimmy Buffett,Where Is Joe Merchant?,fiction,1992,Where Is Joe Merchant? Jimmy Buffett,Where+Is+Joe+Merchant?+Jimmy+Buffett
344,Sidney Sheldon,The Stars Shine Down,fiction,1992,The Stars Shine Down Sidney Sheldon,The+Stars+Shine+Down+Sidney+Sheldon
345,Anne Rice,The Tale of the Body Thief,fiction,1992,The Tale of the Body Thief Anne Rice,The+Tale+of+the+Body+Thief+Anne+Rice
346,Danielle Steel,Mixed Blessings,fiction,1992,Mixed Blessings Danielle Steel,Mixed+Blessings+Danielle+Steel
347,Stephen King,Dolores Claiborne,fiction,1992,Dolores Claiborne Stephen King,Dolores+Claiborne+Stephen+King
348,Dean Koontz,Dragon Tears,fiction,1993,Dragon Tears Dean Koontz,Dragon+Tears+Dean+Koontz
349,Robert James Waller,The Bridges of Madison County,fiction,1993,The Bridges of Madison County Robert James Waller,The+Bridges+of+Madison+County+Robert+James+Waller
350,John Grisham,The Client,fiction,1993,The Client John Grisham,The+Client+John+Grisham
351,Tom Clancy,Without Remorse,fiction,1993,Without Remorse Tom Clancy,Without+Remorse+Tom+Clancy
352,Robert James Waller,Slow Waltz in Cedar Bend,fiction,1993,Slow Waltz in Cedar Bend Robert James Waller,Slow+Waltz+in+Cedar+Bend+Robert+James+Waller
353,Michael Crichton,Disclosure,fiction,1994,Disclosure Michael Crichton,Disclosure+Michael+Crichton
354,Danielle Steel,Accident,fiction,1994,Accident Danielle Steel,Accident+Danielle+Steel
355,James Redfield,The Celestine Prophecy,fiction,1994,The Celestine Prophecy James Redfield,The+Celestine+Prophecy+James+Redfield
356,Mary Higgins Clark,Remember Me,fiction,1994,Remember Me Mary Higgins Clark,Remember+Me+Mary+Higgins+Clark
357,John Grisham,The Chamber,fiction,1994,The Chamber John Grisham,The+Chamber+John+Grisham
358,Danielle Steel,The Gift,fiction,1994,The Gift Danielle Steel,The+Gift+Danielle+Steel
359,Tom Clancy,Debt of Honor,fiction,1994,Debt of Honor Tom Clancy,Debt+of+Honor+Tom+Clancy
360,Anne Rice,Taltos,fiction,1994,Taltos Anne Rice,Taltos+Anne+Rice
361,Stephen King,Insomnia,fiction,1994,Insomnia Stephen King,Insomnia+Stephen+King
362,James Finn Garner,Politically Correct Bedtime Stories,fiction,1994,Politically Correct Bedtime Stories James Finn Garner,Politically+Correct+Bedtime+Stories+James+Finn+Garner
363,John Grisham,The Rainmaker,fiction,1995,The Rainmaker John Grisham,The+Rainmaker+John+Grisham
364,Pat Conroy,Beach Music,fiction,1995,Beach Music Pat Conroy,Beach+Music+Pat+Conroy
365,Anne Rice,Memnoch the Devil,fiction,1995,Memnoch the Devil Anne Rice,Memnoch+the+Devil+Anne+Rice
366,Patricia Cornwell,From Potter's Field,fiction,1995,From Potter's Field Patricia Cornwell,From+Potter's+Field+Patricia+Cornwell
367,Sue Grafton,"""L"" Is for Lawless",fiction,1995,"""L"" Is for Lawless Sue Grafton","""L""+Is+for+Lawless+Sue+Grafton"
368,Nicholas Evans,The Horse Whisperer,fiction,1995,The Horse Whisperer Nicholas Evans,The+Horse+Whisperer+Nicholas+Evans
369,Michael Crichton,The Lost World,fiction,1995,The Lost World Michael Crichton,The+Lost+World+Michael+Crichton
370,Danielle Steel,Five Days in Paris,fiction,1995,Five Days in Paris Danielle Steel,Five+Days+in+Paris+Danielle+Steel
371,Richard Paul Evans,The Christmas Box,fiction,1995,The Christmas Box Richard Paul Evans,The+Christmas+Box+Richard+Paul+Evans
372,Dean Koontz,Intensity,fiction,1996,Intensity Dean Koontz,Intensity+Dean+Koontz
373,Anonymous Later revealed to be Joe Klein,Primary Colors,fiction,1996,Primary Colors Anonymous Later revealed to be Joe Klein,Primary+Colors+Anonymous+Later+revealed+to+be+Joe+Klein
374,Mary Higgins Clark,Moonlight Becomes You,fiction,1996,Moonlight Becomes You Mary Higgins Clark,Moonlight+Becomes+You+Mary+Higgins+Clark
375,Terry McMillan,How Stella Got Her Groove Back,fiction,1996,How Stella Got Her Groove Back Terry McMillan,How+Stella+Got+Her+Groove+Back+Terry+McMillan
376,John Grisham,The Runaway Jury,fiction,1996,The Runaway Jury John Grisham,The+Runaway+Jury+John+Grisham
377,Patricia Cornwell,Cause of Death,fiction,1996,Cause of Death Patricia Cornwell,Cause+of+Death+Patricia+Cornwell
378,Anne Rice,Servant of the Bones,fiction,1996,Servant of the Bones Anne Rice,Servant+of+the+Bones+Anne+Rice
379,Tom Clancy,Executive Orders,fiction,1996,Executive Orders Tom Clancy,Executive+Orders+Tom+Clancy
380,Jacquelyn Mitchard,The Deep End of the Ocean,fiction,1996,The Deep End of the Ocean Jacquelyn Mitchard,The+Deep+End+of+the+Ocean+Jacquelyn+Mitchard
381,Stephen King,Desperation,fiction,1996,Desperation Stephen King,Desperation+Stephen+King
382,Danielle Steel,Silent Honor,fiction,1996,Silent Honor Danielle Steel,Silent+Honor+Danielle+Steel
383,Michael Crichton,Airframe,fiction,1996,Airframe Michael Crichton,Airframe+Michael+Crichton
384,Patricia Cornwell,Hornet's Nest,fiction,1997,Hornet's Nest Patricia Cornwell,Hornet's+Nest+Patricia+Cornwell
385,Dean Koontz,Sole Survivor,fiction,1997,Sole Survivor Dean Koontz,Sole+Survivor+Dean+Koontz
386,John Grisham,The Partner,fiction,1997,The Partner John Grisham,The+Partner+John+Grisham
387,Mary Higgins Clark,Pretend You Don't See Her,fiction,1997,Pretend You Don't See Her Mary Higgins Clark,Pretend+You+Don't+See+Her+Mary+Higgins+Clark
388,Nelson DeMille,Plum Island,fiction,1997,Plum Island Nelson DeMille,Plum+Island+Nelson+DeMille
389,Danielle Steel,Special Delivery,fiction,1997,Special Delivery Danielle Steel,Special+Delivery+Danielle+Steel
390,Patricia Cornwell,Unnatural Exposure,fiction,1997,Unnatural Exposure Patricia Cornwell,Unnatural+Exposure+Patricia+Cornwell
391,Charles Frazier,Cold Mountain,fiction,1997,Cold Mountain Charles Frazier,Cold+Mountain+Charles+Frazier
392,Clive Cussler,Flood Tide,fiction,1997,Flood Tide Clive Cussler,Flood+Tide+Clive+Cussler
393,Danielle Steel,The Ghost,fiction,1997,The Ghost Danielle Steel,The+Ghost+Danielle+Steel
394,Toni Morrison,Paradise,fiction,1998,Paradise Toni Morrison,Paradise+Toni+Morrison
395,John Grisham,The Street Lawyer,fiction,1998,The Street Lawyer John Grisham,The+Street+Lawyer+John+Grisham
396,Danielle Steel,The Long Road Home,fiction,1998,The Long Road Home Danielle Steel,The+Long+Road+Home+Danielle+Steel
397,Mary Higgins Clark,You Belong to Me,fiction,1998,You Belong to Me Mary Higgins Clark,You+Belong+to+Me+Mary+Higgins+Clark
398,Sue Grafton,"""N"" Is for Noose",fiction,1998,"""N"" Is for Noose Sue Grafton","""N""+Is+for+Noose+Sue+Grafton"
399,John Irving,A Widow for One Year,fiction,1998,A Widow for One Year John Irving,A+Widow+for+One+Year+John+Irving
400,Wally Lamb,I Know This Much Is True,fiction,1998,I Know This Much Is True Wally Lamb,I+Know+This+Much+Is+True+Wally+Lamb
401,Danielle Steel,The Klone and I,fiction,1998,The Klone and I Danielle Steel,The+Klone+and+I+Danielle+Steel
402,Wally Lamb,I Know This Much is True,fiction,1998,I Know This Much is True Wally Lamb,I+Know+This+Much+is+True+Wally+Lamb
403,Patricia Cornwell,Point of Origin,fiction,1998,Point of Origin Patricia Cornwell,Point+of+Origin+Patricia+Cornwell
404,Tom Clancy,Rainbow Six,fiction,1998,Rainbow Six Tom Clancy,Rainbow+Six+Tom+Clancy
405,Stephen King,Bag of Bones,fiction,1998,Bag of Bones Stephen King,Bag+of+Bones+Stephen+King
406,Robert Jordan,The Path of Daggers,fiction,1998,The Path of Daggers Robert Jordan,The+Path+of+Daggers+Robert+Jordan
407,Tom Wolfe,A Man in Full,fiction,1998,A Man in Full Tom Wolfe,A+Man+in+Full+Tom+Wolfe
408,Patricia Cornwell,Southern Cross,fiction,1999,Southern Cross Patricia Cornwell,Southern+Cross+Patricia+Cornwell
409,John Grisham,The Testament,fiction,1999,The Testament John Grisham,The+Testament+John+Grisham
410,Danielle Steel,Bittersweet,fiction,1999,Bittersweet Danielle Steel,Bittersweet+Danielle+Steel
411,Stephen King,The Girl Who Loved Tom Gordon,fiction,1999,The Girl Who Loved Tom Gordon Stephen King,The+Girl+Who+Loved+Tom+Gordon+Stephen+King
412,Mary Higgins Clark,We'll Meet Again,fiction,1999,We'll Meet Again Mary Higgins Clark,We'll+Meet+Again+Mary+Higgins+Clark
413,Terry Brooks,Star Wars Episode I: The Phantom Menace,fiction,1999,Star Wars Episode I: The Phantom Menace Terry Brooks,Star+Wars+Episode+I:+The+Phantom+Menace+Terry+Brooks
414,J. K. Rowling,Harry Potter and the Chamber of Secrets,fiction,1999,Harry Potter and the Chamber of Secrets J. K. Rowling,Harry+Potter+and+the+Chamber+of+Secrets+J.+K.+Rowling
415,Thomas Harris,Hannibal,fiction,1999,Hannibal Thomas Harris,Hannibal+Thomas+Harris
416,J. K. Rowling,Harry Potter and the Philosopher's Stone,fiction,1999,Harry Potter and the Philosopher's Stone J. K. Rowling,Harry+Potter+and+the+Philosopher's+Stone+J.+K.+Rowling
417,Patricia Cornwell,Black Notice,fiction,1999,Black Notice Patricia Cornwell,Black+Notice+Patricia+Cornwell
418,Sandra Brown,The Alibi,fiction,1999,The Alibi Sandra Brown,The+Alibi+Sandra+Brown
419,J. K. Rowling,Harry Potter and the Prisoner of Azkaban,fiction,1999,Harry Potter and the Prisoner of Azkaban J. K. Rowling,Harry+Potter+and+the+Prisoner+of+Azkaban+J.+K.+Rowling
420,John Grisham,The Brethren,fiction,2000,The Brethren John Grisham,The+Brethren+John+Grisham
421,Danielle Steel,The Wedding,fiction,2000,The Wedding Danielle Steel,The+Wedding+Danielle+Steel
422,Mary Higgins Clark,Before I Say Good-Bye,fiction,2000,Before I Say Good-Bye Mary Higgins Clark,Before+I+Say+Good-Bye+Mary+Higgins+Clark
423,John Sandford,Easy Prey,fiction,2000,Easy Prey John Sandford,Easy+Prey+John+Sandford
424,Tim LaHaye and Jerry B. Jenkins,The Indwelling,fiction,2000,The Indwelling Tim LaHaye and Jerry B. Jenkins,The+Indwelling+Tim+LaHaye+and+Jerry+B.+Jenkins
425,Janet Evanovich,Hot Six,fiction,2000,Hot Six Janet Evanovich,Hot+Six+Janet+Evanovich
426,Danielle Steel,The House on Hope Street,fiction,2000,The House on Hope Street Danielle Steel,The+House+on+Hope+Street+Danielle+Steel
427,Rosamunde Pilcher,Winter Solstice,fiction,2000,Winter Solstice Rosamunde Pilcher,Winter+Solstice+Rosamunde+Pilcher
428,Tom Clancy,The Bear and the Dragon,fiction,2000,The Bear and the Dragon Tom Clancy,The+Bear+and+the+Dragon+Tom+Clancy
429,Nicholas Sparks,The Rescue,fiction,2000,The Rescue Nicholas Sparks,The+Rescue+Nicholas+Sparks
430,Christina Schwarz,Drowning Ruth,fiction,2000,Drowning Ruth Christina Schwarz,Drowning+Ruth+Christina+Schwarz
431,Patricia Cornwell,The Last Precinct,fiction,2000,The Last Precinct Patricia Cornwell,The+Last+Precinct+Patricia+Cornwell
432,Robert Jordan,Winter's Heart,fiction,2000,Winter's Heart Robert Jordan,Winter's+Heart+Robert+Jordan
433,Tim LaHaye and Jerry B. Jenkins,The Mark,fiction,2000,The Mark Tim LaHaye and Jerry B. Jenkins,The+Mark+Tim+LaHaye+and+Jerry+B.+Jenkins
434,Dean Koontz,From the Corner of His Eye,fiction,2001,From the Corner of His Eye Dean Koontz,From+the+Corner+of+His+Eye+Dean+Koontz
435,Terry McMillan,A Day Late and a Dollar Short,fiction,2001,A Day Late and a Dollar Short Terry McMillan,A+Day+Late+and+a+Dollar+Short+Terry+McMillan
436,John Grisham,A Painted House,fiction,2001,A Painted House John Grisham,A+Painted+House+John+Grisham
437,James Patterson,1st to Die,fiction,2001,1st to Die James Patterson,1st+to+Die+James+Patterson
438,Stephen King,Dreamcatcher,fiction,2001,Dreamcatcher Stephen King,Dreamcatcher+Stephen+King
439,Jan Karon,A Common Life,fiction,2001,A Common Life Jan Karon,A+Common+Life+Jan+Karon
440,Mary Higgins Clark,On the Street Where You Live,fiction,2001,On the Street Where You Live Mary Higgins Clark,On+the+Street+Where+You+Live+Mary+Higgins+Clark
441,John Sandford,Chosen Prey,fiction,2001,Chosen Prey John Sandford,Chosen+Prey+John+Sandford
442,Sue Grafton,"""P"" Is for Peril",fiction,2001,"""P"" Is for Peril Sue Grafton","""P""+Is+for+Peril+Sue+Grafton"
443,Janet Evanovich,Seven Up,fiction,2001,Seven Up Janet Evanovich,Seven+Up+Janet+Evanovich
444,Danielle Steel,Leap of Faith,fiction,2001,Leap of Faith Danielle Steel,Leap+of+Faith+Danielle+Steel
445,John Irving,The Fourth Hand,fiction,2001,The Fourth Hand John Irving,The+Fourth+Hand+John+Irving
446,James Patterson,Suzanne's Diary for Nicholas,fiction,2001,Suzanne's Diary for Nicholas James Patterson,Suzanne's+Diary+for+Nicholas+James+Patterson
447,Clive Cussler,Valhalla Rising,fiction,2001,Valhalla Rising Clive Cussler,Valhalla+Rising+Clive+Cussler
448,Stephen King and Peter Straub,Black House,fiction,2001,Black House Stephen King and Peter Straub,Black+House+Stephen+King+and+Peter+Straub
